nome_loja,demanda,status_demanda,data_sugerida,id_agendamento,data_efetiva
348 APARECIDA DE GOIÂNIA,3067468,Recebimento - Pendente Assaí,2026-08-06 09:00:00+00:00,,
117 VALPARAISO DE GOIAS,3067447,Recebimento - Pendente Assaí,2026-08-04 09:00:00+00:00,,
084 GOIANIA INDEPENDENCI,3065990,Recebimento - Pendente Assaí,2026-08-06 09:00:00+00:00,,
310 GOIANA PORTUGAL,3065989,Recebimento - Pendente Assaí,2026-08-06 09:00:00+00:00,,
056 GOIANIA BURITÍS,3065988,Recebimento - Pendente Assaí,2026-08-04 09:00:00+00:00,,
194 ANAPOLIS,3065973,Recebimento - Pendente Assaí,2026-08-04 09:00:00+00:00,,
105-GOIANA T9,3065972,Recebimento - Pendente Assaí,2026-08-05 09:00:00+00:00,,
140 GOIÂNIA PERIMETR,3065971,Recebimento - Pendente Assaí,2026-08-05 09:00:00+00:00,,
306 TAGUATINGA SHOPPING,3063851,Recebimento - Pendente Assaí,2026-08-04 09:00:00+00:00,,
052 CEILANDIA,3063817,Recebimento - Pendente Assaí,2026-08-04 09:00:00+00:00,,
176 PALMAS TEOTONIO,3063662,Recebimento - Pendente Assaí,2026-08-05 09:00:00+00:00,,
347 ARAGUAÍNA,3063661,Recebimento - Pendente Assaí,2026-08-05 09:00:00+00:00,,
320 PALMAS CESAMAR,3063641,Recebimento - Pendente Assaí,2026-08-05 09:00:00+00:00,,
111 RIO VERDE,3060986,Recebimento - Pendente Assaí,2026-07-31 09:00:00+00:00,,
214 CALDAS NOVAS,3060945,Recebimento - Pendente Assaí,2026-07-31 09:00:00+00:00,,
326 SJ DO RIO PRETO,3044369,Recebimento - Agendamento Finalizado,2026-07-27 09:00:00+00:00,50745812,2026-07-27 12:00:00+00:00
327 SJ R PRETO ALARME,3044354,Recebimento - Aprovada Assaí,2026-07-28 09:00:00+00:00,50745908,2026-07-28 12:00:00+00:00
327 SJ R PRETO ALARME,3031603,Recebimento - Agendamento Finalizado,2026-07-22 09:00:00+00:00,50634851,2026-07-22 10:00:00+00:00
283 MINAS SHOPPING,3024050,Recebimento - Agendamento Finalizado,2026-07-23 09:00:00+00:00,50485321,2026-07-23 10:00:00+00:00
174 ARACATUBA,3024039,Recebimento - Agendamento Finalizado,2026-07-21 09:00:00+00:00,50483986,2026-07-21 10:00:00+00:00
